Player,Country,Runs,BF,4s,6s,SR,Inns,Opposition,Ground,Start Date
Q de Kock,SA,107,113,11,1,94.69,2,England,Cape Town,4 Feb 2020
SPD Smith,AUS,131,132,14,1,99.24,1,India,Bengaluru,19 Jan 2020
RG Sharma,IND,119,128,8,6,92.96,2,Australia,Bengaluru,19 Jan 2020
DA Warner,AUS,128,112,17,3,114.28,2,India,Wankhede,14 Jan 2020
AJ Finch,AUS,110,114,13,2,96.49,2,India,Wankhede,14 Jan 2020
E Lewis,WI,102,97,6,5,105.15,2,Ireland,St George's,12 Jan 2020
CG Williams,NAM,129,94,13,6,137.23,1,Oman,Al Amerat,8 Jan 2020
RG Sharma,IND,159,138,17,5,115.21,1,West Indies,Visakhapatnam,18 Dec 2019
KL Rahul,IND,102,104,8,3,98.07,1,West Indies,Visakhapatnam,18 Dec 2019
SD Hope,WI,102,151,7,1,67.54,2,India,Chennai,15 Dec 2019
SO Hetmyer,WI,139,106,11,7,131.13,2,India,Chennai,15 Dec 2019
SD Hope,WI,109,145,8,3,75.17,2,Afghanistan,Lucknow,11 Nov 2019
MD Gunathilaka,SL,133,134,16,1,99.25,1,Pakistan,Karachi,2 Oct 2019
Babar Azam,PAK,115,105,8,4,109.52,1,Sri Lanka,Karachi,30 Sep 2019
A Vala,PNG,104,114,7,4,91.22,2,Namibia,Lauderhill,23 Sep 2019
JP Kotze,NAM,136,109,11,8,124.77,1,U.S.A.,Lauderhill,20 Sep 2019
V Kohli,IND,114,99,14,0,115.15,2,West Indies,Port of Spain,14 Aug 2019
